user_id,bank_code,tx_channel,tx_type,tx_amount,tx_datetime,tx_hour,tx_weekday,tx_country,tx_location,device_type,device_os,device_id,ip_address,fraud_score,fraud_label
2535,03,WEB,DEPOSIT,108668.47,2025-01-15 10:13:48,10,2,KR,인천,ATM,Android,DEV-9935,23.216.16.8,0.0,0
5552,02,ATM,WITHDRAW,130251.99,2025-10-13 16:49:57,16,0,KR,해외,ATM,Windows,DEV-1106,195.81.216.88,0.1218,0
3045,07,WEB,TRANSFER,45207.39,2025-08-13 04:42:59,4,2,KR,대전,PC,ATM_OS,DEV-5333,207.22.235.138,0.3313,0
2307,08,WEB,DEPOSIT,752025.58,2025-07-15 18:43:51,18,1,RU,대구,ATM,Android,DEV-1750,170.116.148.253,0.9114,1
3803,03,MOBILE,DEPOSIT,114814.38,2025-12-05 08:21:40,8,4,KR,인천,PC,Windows,DEV-4432,172.136.36.156,0.0,0
5386,05,WEB,PAYMENT,34239.13,2025-08-12 11:07:27,11,1,KR,대구,ATM,Windows,DEV-1916,59.16.161.103,0.0194,0
7543,07,WEB,PAYMENT,6027.36,2025-09-06 14:13:34,14,5,KR,인천,PC,iOS,DEV-5040,191.134.219.230,0.0,0
8668,04,ATM,PAYMENT,30493.08,2024-05-21 05:20:54,5,1,KR,부산,MOBILE,iOS,DEV-7916,153.32.197.98,0.0,0
9201,02,ATM,TRANSFER,87299.22,2025-02-18 11:57:50,11,1,KR,부산,PC,macOS,DEV-3591,117.1.134.249,0.0,0
1319,03,ATM,DEPOSIT,10995.44,2026-02-27 15:02:38,15,4,VN,대구,MOBILE,Windows,DEV-3646,139.0.165.126,0.1173,0
8787,07,MOBILE,WITHDRAW,45664.13,2024-03-30 23:36:24,23,5,KR,부산,MOBILE,macOS,DEV-2133,195.64.65.169,0.0054,0
9479,04,MOBILE,PAYMENT,10832.46,2024-11-25 00:24:33,0,0,KR,대구,ATM,Windows,DEV-7537,172.191.224.231,0.0,0
1514,05,WEB,TRANSFER,68398.56,2025-06-09 04:44:36,4,0,KR,대구,ATM,iOS,DEV-1117,19.30.117.18,0.2579,0
2545,03,ATM,WITHDRAW,93980.03,2025-03-08 14:23:05,14,5,KR,대구,ATM,iOS,DEV-8744,63.242.208.49,0.0,0
4139,08,MOBILE,PAYMENT,42191.22,2025-09-30 15:00:13,15,1,KR,서울,ATM,Android,DEV-1993,104.173.55.64,0.0,0
9856,09,WEB,PAYMENT,552790.2,2024-10-12 00:55:47,0,5,KR,해외,MOBILE,Android,DEV-8260,207.50.25.167,0.0,0
7396,03,WEB,WITHDRAW,16827.12,2025-09-23 08:12:51,8,1,KR,해외,MOBILE,macOS,DEV-1960,43.194.1.253,0.0658,0
1821,09,MOBILE,PAYMENT,13835.43,2026-01-26 00:25:31,0,0,KR,대구,PC,iOS,DEV-1958,149.31.160.15,0.0167,0
2343,04,WEB,TRANSFER,5700.99,2024-10-15 16:03:24,16,1,KR,부산,ATM,iOS,DEV-7615,31.126.20.159,0.0,0
8508,07,MOBILE,WITHDRAW,75828.8,2025-05-03 01:37:24,1,5,KR,광주,PC,iOS,DEV-5915,118.161.37.3,0.0591,0
9900,03,WEB,WITHDRAW,73544.21,2026-02-24 20:44:54,20,1,KR,인천,PC,Android,DEV-5002,95.145.80.113,0.0,0
6617,02,ATM,DEPOSIT,41717.48,2024-06-09 21:59:04,21,6,KR,광주,MOBILE,Android,DEV-3546,70.144.107.184,0.0,0
3143,06,ATM,PAYMENT,25240.04,2025-01-25 02:28:43,2,5,KR,부산,ATM,macOS,DEV-5533,12.1.170.198,0.0,0
3426,06,WEB,PAYMENT,212893.36,2025-10-26 09:19:26,9,6,JP,서울,MOBILE,Android,DEV-3442,140.18.189.150,0.0275,0
4878,02,MOBILE,DEPOSIT,7218.13,2024-03-02 23:23:19,23,5,KR,대구,ATM,iOS,DEV-2684,91.208.79.237,0.0259,0
1634,04,MOBILE,TRANSFER,37718.32,2024-10-05 15:03:00,15,5,KR,수원,ATM,iOS,DEV-5371,41.55.195.224,0.0,0
2137,05,WEB,PAYMENT,124743.08,2025-06-27 04:12:39,4,4,KR,대구,MOBILE,Android,DEV-4164,103.168.142.222,0.0825,0
6139,06,MOBILE,PAYMENT,183053.94,2025-05-29 10:09:42,10,3,KR,부산,PC,iOS,DEV-5349,10.55.222.89,0.0,0
2146,03,MOBILE,WITHDRAW,41313.52,2025-01-30 16:44:36,16,3,KR,수원,MOBILE,ATM_OS,DEV-9821,176.100.186.111,0.0265,0
7888,07,ATM,DEPOSIT,193040.28,2024-07-12 14:22:06,14,4,KR,광주,ATM,macOS,DEV-6344,104.151.65.50,0.0,0
8244,08,ATM,WITHDRAW,47916.21,2025-04-12 12:13:28,12,5,KR,서울,PC,Windows,DEV-4443,111.164.238.114,0.0,0
1757,09,ATM,WITHDRAW,14250.57,2024-05-11 17:24:24,17,5,KR,대전,MOBILE,iOS,DEV-6085,58.101.75.7,0.065,0
1090,09,ATM,TRANSFER,304823.45,2025-12-08 11:08:43,11,0,KR,대구,ATM,macOS,DEV-9099,103.124.75.168,0.0,0
8612,03,MOBILE,WITHDRAW,199633.7,2024-09-30 05:31:50,5,0,KR,해외,MOBILE,ATM_OS,DEV-5082,218.62.233.35,0.0289,0
4919,07,MOBILE,PAYMENT,27607.87,2025-11-23 16:51:51,16,6,KR,해외,PC,Windows,DEV-5050,216.141.248.161,0.0289,0
3503,03,ATM,DEPOSIT,379133.58,2024-12-30 06:33:15,6,0,KR,대전,PC,ATM_OS,DEV-2320,36.77.118.99,0.0,0
1320,03,MOBILE,PAYMENT,391434.07,2025-05-29 00:09:08,0,3,KR,해외,PC,Android,DEV-4388,214.215.199.232,0.0,0
5471,08,MOBILE,TRANSFER,160537.53,2025-06-30 10:31:07,10,0,KR,수원,PC,ATM_OS,DEV-9947,205.112.249.57,0.007,0
8022,02,MOBILE,DEPOSIT,41822.56,2025-09-20 02:01:04,2,5,KR,해외,MOBILE,ATM_OS,DEV-9751,7.201.13.22,0.0073,0
7906,09,WEB,TRANSFER,5513.29,2025-02-08 03:19:49,3,5,KR,대전,MOBILE,macOS,DEV-6355,87.194.142.193,0.3324,0
1333,03,MOBILE,TRANSFER,91907.24,2024-03-21 21:53:31,21,3,KR,대구,ATM,Android,DEV-1659,194.15.126.52,0.1182,0
6096,05,WEB,PAYMENT,32147.04,2024-06-26 16:44:51,16,2,CN,대구,PC,Windows,DEV-7043,43.58.83.247,0.0,0
1672,02,MOBILE,PAYMENT,32790.42,2025-09-08 04:20:57,4,0,KR,부산,ATM,iOS,DEV-2669,179.154.61.204,0.0732,0
